Status,Count,Percentage
Closed,44481,77.45120231234003
Approved,10265,17.873622259755184
New,1689,2.940920408838432
Rejected,674,1.1735822116975154
In Progress,217,0.3778447180094374
Awaiting Internal Response,70,0.12188539290627014
Under Review,19,0.03308317807455904
Awaiting External Response,7,0.012188539290627014
To Be Declined,2,0.0034824397973220035
Email Response Required,2,0.0034824397973220035
Passed,2,0.0034824397973220035
Referred,1,0.0017412198986610017
Pending Trader Action,1,0.0017412198986610017
Passed with further action,1,0.0017412198986610017
